                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78211,                 3.6481,                 1.0076,                0.92555,                0.83439,                0.93057,                0.74269,                0.77983,                 2.4089,                 1.1661,             0.00066314,             0.00066314,             0.00066314
                      2,                0.81208,                 2.6117,                 1.0175,                0.87149,                0.80892,                0.91611,                 0.6784,                0.88218,                 1.5203,                  1.252,              0.0013133,              0.0013133,              0.0013133
                      3,                0.88097,                 2.0638,                  1.071,                0.87365,                0.79618,                0.91369,                0.71427,                 0.8051,                 1.4194,                 1.1107,              0.0019471,              0.0019471,              0.0019471
                      4,                0.87025,                 1.5854,                  1.031,                0.85556,                0.84076,                0.91383,                0.74598,                 0.7564,                 1.1603,                 1.1342,              0.0019258,              0.0019258,              0.0019258
                      5,                0.80916,                 1.2001,                 1.0064,                0.86847,                0.96178,                0.95717,                0.76819,                0.71963,                 0.8855,                 1.0229,              0.0019258,              0.0019258,              0.0019258
                      6,                0.82183,                 1.0793,                 1.0047,                 0.8816,                0.92994,                0.96531,                0.79908,                0.68945,                0.74384,                 1.0069,               0.001901,               0.001901,               0.001901
                      7,                0.75622,                0.87869,                0.98869,                0.89021,                0.92958,                 0.9605,                0.82127,                0.62179,                0.76565,                0.97517,              0.0018763,              0.0018763,              0.0018763
                      8,                0.77744,                0.80121,                 0.9892,                0.89623,                0.93523,                0.96663,                 0.8004,                0.66201,                0.68207,                0.98182,              0.0018515,              0.0018515,              0.0018515
                      9,                0.77667,                0.77279,                0.96828,                0.88567,                0.88818,                0.95355,                0.80492,                 0.6803,                0.72163,                 1.0345,              0.0018267,              0.0018267,              0.0018267
                     10,                0.72301,                0.74894,                0.97327,                0.90104,                0.96178,                 0.9574,                 0.8163,                0.63853,                0.62624,                0.98698,               0.001802,               0.001802,               0.001802
                     11,                0.71461,                 0.7242,                0.96659,                0.85346,                0.93631,                0.95675,                0.84022,                0.57692,                0.68502,                 0.9787,              0.0017772,              0.0017772,              0.0017772
                     12,                0.70127,                0.69797,                0.96163,                0.91084,                0.94904,                0.96612,                 0.8144,                0.60851,                 0.6055,                0.97065,              0.0017525,              0.0017525,              0.0017525
                     13,                0.69929,                0.67241,                0.94773,                0.87288,                0.91847,                0.96097,                0.81521,                0.64045,                0.60028,                 1.0051,              0.0017278,              0.0017278,              0.0017278
                     14,                 0.6523,                0.63443,                0.94801,                0.89863,                0.90341,                 0.9601,                0.81011,                0.64906,                 0.6253,                0.98137,               0.001703,               0.001703,               0.001703
