                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4815,                0.35892,                0.84648,                 0.9998,                      1,                  0.995,                0.91256,                0.41581,                0.24036,                0.83814,             0.00065909,             0.00065909,             0.00065909
                      2,                0.49119,                 0.3192,                0.84929,                0.99978,                      1,                  0.995,                 0.8982,                0.45607,                0.25882,                0.84698,              0.0013126,              0.0013126,              0.0013126
                      3,                0.50414,                0.32049,                 0.8506,                0.99982,                      1,                  0.995,                0.89498,                 0.4572,                0.25613,                0.84967,               0.001953,               0.001953,               0.001953
                      4,                0.49886,                0.31316,                0.85735,                 0.9998,                      1,                  0.995,                0.90789,                0.43664,                0.23988,                0.84567,              0.0019406,              0.0019406,              0.0019406
                      5,                0.49524,                0.30292,                0.86036,                0.99982,                      1,                  0.995,                0.91313,                0.42089,                0.23619,                0.84025,              0.0019406,              0.0019406,              0.0019406
                      6,                0.49111,                0.30266,                0.85323,                0.99969,                      1,                  0.995,                0.91202,                0.42243,                0.23431,                0.84164,              0.0019208,              0.0019208,              0.0019208
                      7,                0.47998,                0.29766,                0.85042,                0.99983,                      1,                  0.995,                0.91869,                0.43163,                0.24613,                0.84373,               0.001901,               0.001901,               0.001901
                      8,                0.49143,                0.28759,                0.85402,                 0.9998,                      1,                  0.995,                  0.913,                0.43246,                0.23776,                0.84349,              0.0018812,              0.0018812,              0.0018812
                      9,                0.47093,                  0.282,                0.85123,                0.99966,                      1,                  0.995,                0.90674,                0.45311,                0.22895,                0.84881,              0.0018614,              0.0018614,              0.0018614
                     10,                0.46687,                0.27614,                0.84532,                0.99981,                      1,                  0.995,                0.91362,                0.44599,                0.23653,                0.84577,              0.0018416,              0.0018416,              0.0018416
                     11,                0.46123,                0.27331,                0.84774,                0.99982,                      1,                  0.995,                0.90288,                0.47539,                0.23807,                0.85309,              0.0018218,              0.0018218,              0.0018218
                     12,                0.46625,                0.27719,                0.85123,                0.99963,                      1,                  0.995,                0.90689,                0.43861,                 0.2183,                0.84287,               0.001802,               0.001802,               0.001802
                     13,                0.46011,                0.27055,                0.84808,                0.99982,                      1,                  0.995,                0.91068,                0.42553,                0.20757,                0.84087,              0.0017822,              0.0017822,              0.0017822
                     14,                0.45934,                0.26577,                0.84405,                0.99983,                      1,                  0.995,                0.92439,                0.40785,                0.21067,                 0.8364,              0.0017624,              0.0017624,              0.0017624
                     15,                 0.4512,                0.26861,                0.84554,                0.99984,                      1,                  0.995,                0.91366,                0.42171,                0.21541,                0.83695,              0.0017426,              0.0017426,              0.0017426
                     16,                 0.4557,                0.26539,                0.84496,                0.99984,                      1,                  0.995,                0.90942,                0.44315,                0.22297,                0.84321,              0.0017228,              0.0017228,              0.0017228
                     17,                0.44182,                0.26278,                0.84314,                0.99984,                      1,                  0.995,                0.92723,                0.40166,                0.21627,                0.83596,               0.001703,               0.001703,               0.001703
                     18,                0.44742,                0.26049,                0.84309,                0.99982,                      1,                  0.995,                0.91153,                0.42507,                 0.2106,                  0.839,              0.0016832,              0.0016832,              0.0016832
                     19,                0.46407,                0.26338,                0.84861,                0.99983,                      1,                  0.995,                  0.923,                0.40799,                0.20646,                0.83466,              0.0016634,              0.0016634,              0.0016634
                     20,                0.45059,                0.25853,                0.84127,                0.99983,                      1,                  0.995,                0.91374,                0.42116,                0.21231,                0.83861,              0.0016436,              0.0016436,              0.0016436
                     21,                 0.4507,                0.26224,                0.84274,                0.99983,                      1,                  0.995,                0.92395,                0.43053,                0.20733,                0.83856,              0.0016238,              0.0016238,              0.0016238
                     22,                0.44591,                0.25735,                0.84459,                0.99983,                      1,                  0.995,                 0.9197,                0.41308,                0.20576,                 0.8343,               0.001604,               0.001604,               0.001604
                     23,                0.43492,                0.25092,                0.84197,                0.99983,                      1,                  0.995,                0.92423,                0.40254,                0.19619,                0.83035,              0.0015842,              0.0015842,              0.0015842
                     24,                0.43052,                0.24571,                0.84071,                0.99984,                      1,                  0.995,                0.92286,                0.42184,                0.20391,                0.83953,              0.0015644,              0.0015644,              0.0015644
                     25,                0.42757,                0.24471,                0.83723,                0.99978,                      1,                  0.995,                0.91689,                0.40495,                0.21206,                0.83317,              0.0015446,              0.0015446,              0.0015446
                     26,                0.44401,                0.25458,                0.84304,                0.99973,                      1,                  0.995,                0.92679,                0.39804,                0.20242,                0.83136,              0.0015248,              0.0015248,              0.0015248
                     27,                0.42749,                0.24684,                0.84456,                0.99981,                      1,                  0.995,                0.92667,                0.39511,                0.19027,                 0.8306,               0.001505,               0.001505,               0.001505
                     28,                0.43284,                0.24544,                0.83623,                0.99959,                      1,                  0.995,                0.91789,                0.41344,                 0.2127,                0.83522,              0.0014852,              0.0014852,              0.0014852
                     29,                0.42866,                0.24114,                0.84066,                0.99978,                      1,                  0.995,                0.91386,                0.43374,                0.20985,                0.84124,              0.0014654,              0.0014654,              0.0014654
                     30,                0.42842,                0.23928,                0.83411,                 0.9998,                      1,                  0.995,                0.92576,                 0.4163,                0.19544,                0.83319,              0.0014456,              0.0014456,              0.0014456
